"N°","Sexo","Edad","Tipo cliente","Precio","Dcto"
"1","Femenino","36","VIP","29,940","20%"
"2","Masculino","57","Normal","31,920","50%"
"3","Femenino","42","Normal","6,900","15%"
"4","Masculino","28","Normal","49,900","20%"
"5","Femenino","40","Normal","19,900","15%"
"6","Masculino","58","Normal","17,430","5%"
"7","Femenino","40","VIP","49,900","20%"
"8","Masculino","40","Normal","44,900","5%"
"9","Masculino","44","VIP","30,320","15%"
"10","Femenino","46","Normal","69,900","35%"
"11","Femenino","47","Normal","39,900","15%"
"12","Femenino","58","Normal","82,900","15%"
"13","Femenino","42","Normal","14,900","20%"
"14","Femenino","47","Normal","27,930","35%"
"15","Femenino","52","VIP","30,900","30%"
"16","Femenino","36","Normal","79,900","15%"
"17","Femenino","20","VIP","66,430","5%"
"18","Masculino","60","Normal","34,900","15%"
"19","Femenino","54","VIP","29,900","10%"
"20","Femenino","49","Normal","22,900","10%"
"21","Femenino","59","Normal","29,940","35%"
"22","Femenino","42","Normal","6,760","5%"
"23","Femenino","41","VIP","46,900","15%"
"24","Femenino","33","Normal","39,900","10%"
"25","Femenino","25","Normal","73,900","35%"
"26","Femenino","37","Normal","108,900","30%"
"27","Femenino","48","Normal","32,900","35%"
"28","Femenino","55","Normal","39,900","20%"
"29","Femenino","35","VIP","59,940","15%"
"30","Femenino","41","Normal","53,130","10%"
"31","Femenino","40","VIP","19,900","10%"
"32","Femenino","50","Normal","18,900","35%"
"33","Femenino","50","Normal","13,470","30%"
"34","Masculino","44","Normal","42,900","15%"
"35","Femenino","36","VIP","12,900","10%"
"36","Femenino","51","Normal","99,900","5%"
"37","Masculino","46","VIP","22,900","10%"
"38","Masculino","41","Normal","29,900","15%"
"39","Femenino","53","VIP","9,960","30%"
"40","Masculino","36","VIP","29,900","15%"
"41","Femenino","40","VIP","14,970","15%"
"42","Masculino","28","VIP","39,900","15%"
"43","Femenino","33","Normal","34,930","5%"
"44","Masculino","25","VIP","32,900","15%"
"45","Femenino","36","Normal","42,900","35%"
"46","Femenino","20","Normal","7,960","10%"
"47","Femenino","29","Normal","9,900","30%"
"48","Femenino","32","Normal","44,900","35%"
"49","Femenino","34","Normal","64,900","10%"
"50","Femenino","52","Normal","49,900","20%"
"51","Femenino","36","VIP","22,900","20%"
"52","Femenino","41","Normal","24,900","10%"
"53","Masculino","24","Normal","32,940","10%"
"54","Femenino","36","Normal","30,030","20%"
"55","Masculino","40","VIP","59,900","15%"
"56","Femenino","44","Normal","96,900","5%"
"57","Masculino","38","Normal","22,900","10%"
"58","Masculino","70","Normal","24,900","10%"
"60","Femenino","45","Normal","42,900","10%"
"61","Femenino","42","Normal","32,900","10%"
"62","Femenino","38","Normal","14,940","5%"
"63","Femenino","21","Normal","19,900","5%"
"64","Femenino","45","VIP","28,900","15%"
"65","Masculino","41","VIP","36,900","5%"
"66","Femenino","49","Normal","26,940","5%"
"67","Femenino","70","Normal","18,900","5%"
"68","Femenino","45","Normal","44,900","20%"
"69","Femenino","33","VIP","9,960","30%"
"70","Femenino","68","Normal","126,900","10%"
"71","Femenino","63","Normal","34,320","15%"
"72","Femenino","69","Normal","22,900","35%"
"73","Femenino","43","Normal","95,830","20%"
"74","Femenino","34","VIP","22,900","35%"
"75","Masculino","45","VIP","44,900","30%"
"76","Femenino","22","Normal","29,900","50%"
"77","Femenino","57","VIP","29,900","50%"
"78","Femenino","42","Normal","14,900","35%"
"79","Masculino","61","VIP","33,900","5%"
"80","Masculino","28","Normal","37,900","10%"
"81","Femenino","45","Normal","26,900","35%"
"82","Masculino","43","VIP","34,900","5%"
"83","Femenino","32","VIP","29,900","30%"
"84","Masculino","57","Normal","29,900","50%"
"85","Femenino","41","VIP","29,950","35%"
"86","Masculino","35","Normal","39,900","10%"
"87","Masculino","39","Normal","26,900","5%"
"88","Masculino","24","Normal","39,900","10%"
"89","Femenino","35","Normal","31,740","5%"
"90","Masculino","46","Normal","10,760","15%"
"91","Femenino","45","Normal","64,900","35%"
"92","Masculino","42","Normal","24,430","5%"
"93","Femenino","52","Normal","27,900","20%"
"94","Femenino","51","Normal","36,900","10%"
"95","Femenino","51","VIP","84,900","15%"
"96","Masculino","49","VIP","24,900","10%"
"97","Femenino","28","VIP","29,900","20%"
"98","Masculino","32","VIP","44,900","30%"
"99","Femenino","23","Normal","36,900","20%"
"100","Femenino","30","Normal","19,530","10%"
"101","Masculino","52","Normal","42,900","20%"
"102","Femenino","50","Normal","52,900","35%"
"103","Femenino","44","VIP","39,900","5%"
"104","Masculino","65","VIP","8,450","10%"
"105","Masculino","42","VIP","63,900","10%"
"106","Femenino","36","Normal","44,900","10%"
"107","Femenino","51","Normal","179,900","15%"
"108","Femenino","42","Normal","9,960","20%"
"109","Femenino","41","Normal","19,900","10%"
"110","Femenino","46","Normal","54,900","5%"
"111","Masculino","51","Normal","17,940","15%"
"112","Femenino","40","Normal","8,900","10%"
"113","Femenino","39","Normal","99,900","5%"
"114","Femenino","31","VIP","59,900","35%"
"115","Femenino","35","Normal","14,900","10%"
"116","Femenino","28","VIP","32,900","15%"
"117","Femenino","60","Normal","46,900","5%"
"118","Masculino","43","Normal","58,900","30%"
"119","Femenino","25","VIP","26,900","15%"
"121","Femenino","50","Normal","7,450","15%"
"122","Femenino","54","Normal","23,030","5%"
"123","Femenino","43","VIP","3,900","15%"
"124","Femenino","42","Normal","32,900","10%"
"125","Femenino","42","VIP","6,900","5%"
"126","Masculino","31","Normal","20,930","15%"
"127","Femenino","39","Normal","39,900","20%"
"128","Masculino","48","VIP","27,930","10%"
"129","Femenino","45","Normal","18,900","35%"
"130","Femenino","50","Normal","42,900","5%"
"131","Femenino","50","VIP","99,540","30%"
"132","Femenino","43","Normal","5,960","35%"
"133","Femenino","60","Normal","73,900","20%"
"134","Femenino","54","Normal","122,900","30%"
"135","Femenino","61","Normal","39,900","35%"
"136","Femenino","31","VIP","42,900","5%"
"137","Masculino","49","Normal","32,830","20%"
"138","Femenino","37","Normal","36,900","35%"
"139","Femenino","55","Normal","34,900","5%"
"140","Femenino","41","Normal","39,900","15%"
"141","Femenino","50","Normal","42,900","15%"
